Generation,Compute Type,Total Cores,Total Memory Gb,Total Gpus,Cores Per Node,Cores Per Die,Dies Per Node,Die Brand,Die Name,Die Frequency Ghz,Memory Per Node Gb,Gpu Per Node,Gpu Brand,Gpu Name,Gpu Memory Gb,Nodes
1,cpu: amd,128,1024,,2,1,2,AMD,Opteron 242,1.6,16,,,,,64
2,cpu: intel,192,1152,,8,4,2,Intel,Xeon E5450,3.0,48,,,,,24
3,cpu: intel,384,1536,,12,6,2,Intel,Xeon X5650,2.66,48,,,,,32
3,cpu: intel,192,1536,,12,6,2,Intel,Xeon X5650,2.66,96,,,,,16
4,cpu: intel,48,1152,,16,8,2,Intel,Xeon X5650,2.7,384,,,,,3
5,cpu: intel,192,1152,,16,8,2,Intel,Xeon E2650,2.0,96,,,,,12
6,cpu: intel,336,5376,,24,12,2,Intel,Xeon E5-2680 v3,2.5,384,,,,,14
6,cpu: intel,912,9728,,24,12,2,Intel,Xeon E5-2680 v3,2.5,256,,,,,38
6,cpu: intel,1056,5632,,24,12,2,Intel,Xeon E5-2680 v3,2.5,128,,,,,44
7,gpu: pascal,504,4608,72,28,14,2,Intel,Xeon E5-2680 v4,2.4,256,4,NVIDIA,Tesla P100,16,18
8,cpu: intel,504,4032,,24,12,2,Intel,Xeon E5-2680 v4,2.5,192,,,,,21
8,mem: large,240,7680,,24,12,2,Intel,Xeon E5-2680 v4,2.5,768,,,,,10
8,mem: large,96,6144,,24,12,2,Intel,Xeon E5-2680 v4,2.5,1536,,,,,4
9,cpu: intel,2496,39936,,48,24,2,Intel,Xeon Gold 6248R,3.0,768,,,,,52
10,cpu: amd,4352,17408,,128,64,2,AMD,Epyc 7713 Milan,2.0,512,,,,,34
11,gpu: ampere,2560,10240,40,128,64,2,AMD,Epyc 7763 Milan,2.45,512,2,NVIDIA,A100,80,20
1,cpu: intel,240,960,,48,12,4,Intel,Xeon Gold 6248R,3.0,192,,,,,5
1,gpu: ampere,512,4096,32,128,64,2,AMD,Epyc 7742 Rome,2.25,1024,8,NVIDIA,A100,40,4
1,cpu: intel,144,576,,48,12,4,Intel,Xeon Gold 6248R,3.0,192,,,,,3
1,gpu: ampere,512,4096,32,128,64,2,AMD,Epyc 7742 Rome,2.25,1024,8,NVIDIA,A100,40,4
