Partition,Time Limit in Hours,Nodes (Limit/Partition),Cores/Node (Limit/Person),Mem GB/Node (Limit/Person),GPU/Node (Limit/Person)
**cpu: amd**,,,,,
amd-hdr100,150,34 (5),128 (264),504 (3072),
,,,,,
**cpu: intel**,,,,,
express,2,51 (~),48 (264),754 (3072),
short,12,51 (44),48 (264),754 (3072),
medium,50,51 (44),48 (264),754 (3072),
long,150,51 (5),48 (264),754 (3072),
,,,,,
**gpu: ampere**
amperenodes,12,20 (TBD),32 (64),189 (384),2 (4)
amperenodes-medium,48,20 (TBD),32 (64),189 (384),2 (4)
,,,,,
**gpu: pascal**,,,,,
pascalnodes,12,18 (~),28 (56),252 (500),4 (8)
pascalnodes-medium,48,7 (~),28 (56),252 (500),4 (8)
,,,,,
**mem: large**
largemem,50,13 (10),24 (290),755 (7168),
largemem-long,150,5 (10),24 (290),755 (7168),
